" Población Total por Edades y Sexo"

"SEXO",,"VARON","MUJER","TOTAL",
,,POBLACION,POBLACION,POBLACION
FECHA,EDAD,Sum,Sum,Sum
,"  96", 337.1203143, 867.3441342,1204.4644485
,"  97", 257.1208494, 639.2108127, 896.3316621
,"  98", 216.0668644, 493.1940954, 709.2609598
,"  99", 143.0415108, 314.0952147, 457.1367255
," 100",  216.063593, 332.0768713, 548.1404643
," 101",  27.0087009,   104.04683, 131.0555309
," 102",  19.0077283,   60.014691,  79.0224193
," 103",  17.0046825,  34.0202558,  51.0249383
," 104",   11.004479,  27.0071496,  38.0116286
," 105",   4.0022395,  13.0071496,  17.0093891
," 106",           2,   5.0051834,   7.0051834
," 107",           3,   3.0019662,   6.0019662
